,30-39,40-49,50-59,60-69
ENSG00000267898.1,0.6980197319532409,0.35264849888533895,0.2467441899940778,0.19686970724586295
ENSG00000253116.1,0.21699160228807224,0.11571455893176932,0.4129128585255032,0.07046992993213443
ENSG00000204314.12,0.4150055795908145,0.44816825553256534,0.36498299003751655,0.614218609175917
ENSG00000272267.2,0.34471842595770164,0.2924663046477044,0.2501268412163299,0.1287239840926984
ENSG00000089685.15,0.10023805611672605,0.2952631139568949,0.4442467881786736,0.1874075757652528
ENSG00000141378.15,0.2620295894929306,0.11151591392786402,0.4321132440565084,0.32306714268479375
ENSG00000254852.8,0.09399031686236582,0.33929110504802223,0.09354929629857485,0.18462719633963662
ENSG00000238812.1,0.0,0.0,0.0,0.0
ENSG00000228793.3,0.008361359807572076,0.22527348911125275,0.09253106010908765,0.10071609951554238
ENSG00000268433.1,0.4600428058963615,0.0665520654347411,0.013573915533717179,0.44827620856318895
ENSG00000183690.13,0.17829203765910692,0.41739656655094437,0.17924699236070124,0.33431453337119216
ENSG00000126266.3,0.0703125813742748,0.3508744154072099,0.2302918016394638,0.5523308196277354
ENSG00000232893.1,0.0,0.2180914750428084,0.031861291906887836,0.0
ENSG00000250480.3,0.0,0.0,0.0,0.0
ENSG00000270069.2,0.4336916954291956,0.23388442378288415,0.23870168516903606,0.4750857546428308
ENSG00000075914.13,0.805087908527558,0.4084000114832692,0.23484003395766767,0.2992642505321264
ENSG00000211747.3,0.07043569421036334,0.2448058971892145,0.40237047008738946,0.3236705440740907
ENSG00000185238.13,0.5149996253901499,0.5375397765678656,0.6129868590157888,0.6568127123646773
ENSG00000250915.2,0.0,0.0,0.0,0.0
ENSG00000069493.15,0.30006787027904025,0.25124430765401595,0.2714913427944579,0.4613574401497064
ENSG00000151726.15,0.2308046331717647,0.6104533676688889,0.6028824308722046,0.4646058239203188
ENSG00000254812.2,0.47003693889992093,0.3727972163038164,0.43239713542452574,0.39640253140108284
ENSG00000262135.1,0.0,0.1,0.0,0.0
ENSG00000181693.9,0.0,0.1867007938467135,0.17914495822885135,0.0
ENSG00000167491.18,0.202934119454104,0.5005309177292177,0.6647335632545781,0.3667708944508841
ENSG00000227220.1,0.5480190908542637,0.20365102993020487,0.1477777138126333,0.44493005411451225
ENSG00000111642.16,0.22409857751947818,0.42455571276298765,0.4381043321574499,0.22992935182600305
ENSG00000271086.7,0.15797953064622847,0.26695215208616707,0.33209663296102165,0.3924937708918017
ENSG00000074695.6,0.3479167714750724,0.33032677108076614,0.5660051613324286,0.5158025015330353
ENSG00000235258.1,0.5,0.2662707970830319,0.3224153942403566,0.44669714950438916
ENSG00000197181.12,0.34234620231560386,0.19197817450203164,0.27242288580006935,0.4723026726297906
ENSG00000007341.19,0.41159370529327605,0.3914484978540772,0.4884606580829756,0.5852192417739628
ENSG00000257829.1,0.3067900535274293,0.2961063751451471,0.40293710527061083,0.040297445410518565
