,30-39,50-59,60-69
ENSG00000275390.1,0.0,0.0,0.0
ENSG00000281100.1,0.7372008779100366,0.6104344198963081,0.3809964390893923
ENSG00000253840.1,0.0,0.0,0.0
ENSG00000252108.1,0.0,0.0,0.0
ENSG00000260202.2,0.0,0.25,0.0
ENSG00000196262.15,0.613870502688653,0.6466841700954445,0.312494080754296
ENSG00000276119.1,0.8482301340651486,0.35658724533376956,0.0
ENSG00000277493.1,0.7825088360486715,0.25,0.5431151033246009
ENSG00000205549.10,0.03226778606787737,0.09651060910833084,0.5467863579516004
ENSG00000266554.2,0.00950680573656875,0.0339196435158162,0.5606051585632434
ENSG00000281649.3,0.6396020294481484,0.6129412365074407,0.0390426523500232
ENSG00000189266.13,0.5259038313492121,0.6080704506935887,0.26560391535847366
ENSG00000206849.1,0.0,0.0,0.0
ENSG00000207021.1,0.0,0.0,0.5
ENSG00000253502.1,0.7871656417021906,0.0,0.0
ENSG00000243503.2,0.0,0.0,0.0
ENSG00000253134.1,0.0,0.0,0.0
ENSG00000088356.6,0.9372914266908011,0.6072371235807142,0.3925884482474907
ENSG00000129968.17,0.9855026125139552,0.5749335880567746,0.11190512351155982
ENSG00000162601.11,0.9530809760920915,0.7504707826868589,0.16870777640024243
ENSG00000236690.2,0.0,0.0,0.0
ENSG00000272088.1,0.3501806942152297,0.7124268353344105,0.20890521472629625
ENSG00000138772.13,0.7367025186114073,0.6354785352159846,0.049485959322972436
ENSG00000214182.5,0.12282660848625307,0.3277487076886865,0.008969228958636988
ENSG00000268235.7,0.5,0.0,0.31226952732148844
ENSG00000228541.2,0.8226213526402628,0.19938899896785278,0.18657379852787176
ENSG00000188816.4,0.02963002828859072,0.308025079635242,0.865849515461178
ENSG00000251090.2,0.0,0.0,0.0
ENSG00000225740.1,0.0,0.0,0.0
ENSG00000288734.1,0.5686278339400946,0.6380290932954172,0.5722098092217309
ENSG00000162073.14,0.8300594671785142,0.6345407966274222,0.2320420759384231
